,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
26,0.0895,https://api.spotify.com/v1/audio-analysis/2wT9EZNcSYoon4aBiIVPOY,0.831,274413,0.752,2wT9EZNcSYoon4aBiIVPOY,0.0,7,0.14,-4.837,1,0.179,95.799,4,https://api.spotify.com/v1/tracks/2wT9EZNcSYoon4aBiIVPOY,audio_features,spotify:track:2wT9EZNcSYoon4aBiIVPOY,0.509
27,0.012,https://api.spotify.com/v1/audio-analysis/0kAFTd3dWytNQPVF18jCIv,0.285,331427,0.648,0kAFTd3dWytNQPVF18jCIv,0.394,9,0.216,-7.604,0,0.0285,91.429,4,https://api.spotify.com/v1/tracks/0kAFTd3dWytNQPVF18jCIv,audio_features,spotify:track:0kAFTd3dWytNQPVF18jCIv,0.115
28,0.0159,https://api.spotify.com/v1/audio-analysis/7FFl1IHSsPWsfUCladsCl9,0.528,216333,0.886,7FFl1IHSsPWsfUCladsCl9,0.0,11,0.0758,-6.249,0,0.0329,96.001,4,https://api.spotify.com/v1/tracks/7FFl1IHSsPWsfUCladsCl9,audio_features,spotify:track:7FFl1IHSsPWsfUCladsCl9,0.8
29,0.497,https://api.spotify.com/v1/audio-analysis/5g6FCPU1r3C88vUsFtat16,0.585,193067,0.633,5g6FCPU1r3C88vUsFtat16,0.0,9,0.145,-4.944,1,0.1,101.707,4,https://api.spotify.com/v1/tracks/5g6FCPU1r3C88vUsFtat16,audio_features,spotify:track:5g6FCPU1r3C88vUsFtat16,0.378
30,0.0373,https://api.spotify.com/v1/audio-analysis/4VSyH8AkIt3kaR5xIPFVVi,0.719,166693,0.736,4VSyH8AkIt3kaR5xIPFVVi,0.0028,6,0.193,-7.517,1,0.052,92.179,4,https://api.spotify.com/v1/tracks/4VSyH8AkIt3kaR5xIPFVVi,audio_features,spotify:track:4VSyH8AkIt3kaR5xIPFVVi,0.757
31,0.103,https://api.spotify.com/v1/audio-analysis/6x4tKaOzfNJpEJHySoiJcs,0.622,220293,0.807,6x4tKaOzfNJpEJHySoiJcs,0.0,5,0.306,-6.752,0,0.408,174.06,4,https://api.spotify.com/v1/tracks/6x4tKaOzfNJpEJHySoiJcs,audio_features,spotify:track:6x4tKaOzfNJpEJHySoiJcs,0.892
32,0.303,https://api.spotify.com/v1/audio-analysis/0LWINYMC4s8QTdDSb1B3Q3,0.499,247333,0.783,0LWINYMC4s8QTdDSb1B3Q3,0.0,0,0.744,-6.517,1,0.0837,91.396,4,https://api.spotify.com/v1/tracks/0LWINYMC4s8QTdDSb1B3Q3,audio_features,spotify:track:0LWINYMC4s8QTdDSb1B3Q3,0.707
33,0.00151,https://api.spotify.com/v1/audio-analysis/2O2mr2gzBRtKGRiswqRyiN,0.541,363800,0.775,2O2mr2gzBRtKGRiswqRyiN,0.000222,2,0.178,-8.041,1,0.0297,98.992,4,https://api.spotify.com/v1/tracks/2O2mr2gzBRtKGRiswqRyiN,audio_features,spotify:track:2O2mr2gzBRtKGRiswqRyiN,0.271
34,0.371,https://api.spotify.com/v1/audio-analysis/4aJnMRNeuDZSQN7FaSNGtM,0.71,131250,0.578,4aJnMRNeuDZSQN7FaSNGtM,0.669,0,0.417,-6.205,0,0.0297,96.064,4,https://api.spotify.com/v1/tracks/4aJnMRNeuDZSQN7FaSNGtM,audio_features,spotify:track:4aJnMRNeuDZSQN7FaSNGtM,0.348
35,0.00425,https://api.spotify.com/v1/audio-analysis/7hm4HTk9encxT0LYC0J6oI,0.538,183440,0.52,7hm4HTk9encxT0LYC0J6oI,0.0,9,0.367,-7.46,1,0.0299,106.031,4,https://api.spotify.com/v1/tracks/7hm4HTk9encxT0LYC0J6oI,audio_features,spotify:track:7hm4HTk9encxT0LYC0J6oI,0.678
36,0.105,https://api.spotify.com/v1/audio-analysis/1LONTBZZRxDVx4wEvdcCLd,0.476,282227,0.443,1LONTBZZRxDVx4wEvdcCLd,7.97e-06,9,0.123,-7.563,1,0.0282,72.888,4,https://api.spotify.com/v1/tracks/1LONTBZZRxDVx4wEvdcCLd,audio_features,spotify:track:1LONTBZZRxDVx4wEvdcCLd,0.165
37,0.0516,https://api.spotify.com/v1/audio-analysis/6YYd5MLpu45J0uLrMdivF7,0.934,239547,0.459,6YYd5MLpu45J0uLrMdivF7,0.0,1,0.222,-7.654,1,0.189,103.04,4,https://api.spotify.com/v1/tracks/6YYd5MLpu45J0uLrMdivF7,audio_features,spotify:track:6YYd5MLpu45J0uLrMdivF7,0.697
